Katsesõna	ÜS_definitsioon
triood	kolme elektroodiga elektronlamp või pooljuhtseadis
Tripolitaania	maa-ala Liibüas, selle lääneosa
tripp	aas, mille abil saab nt riideeset nagisse, konksu otsa vms riputada
trips	kübeke, raasuke
triumf	hiilgav võit, suur edu
triumfaalne	"äärmiselt edukas, hiilgav, triumfina iseloomustatav	 võidutsev, juubeldav"
triviaalne	"tavaline	 kulunud, lihtlabane"
triviaalsus	miski tavaline või lihtlabane ja kulunud, nt selline mõte, väljend
Trnava	linn Slovakkias
trobikond	ebamäärane, korratu hulk inimesi vm olendeid
trofee	"mälestusese edukast jahilkäigust (tabatud looma sarved, nahk vm)	 võistluse võitmist tähistav ese (nt spordivõistluste võitja karikas)"
troglodüüt	ürgaegne inimene, kes kasutas looduslikke koopaid elupaigana
trohheiline	(värsi kohta:) trohheustest moodustuv, trohheustega iseloomustuv
troika	kolme etterakendatud hobusega veovahend
troll	kontaktjuhtmete kaudu energiat saav rööpmeta elektri-tänavasõiduk
trollibuss	kontaktjuhtmete kaudu energiat saav rööpmeta elektri-tänavasõiduk
trollima	veebikeskkonnas (nt foorumites, kommentaariumis) huligaanitsema, solvavaid, vaenu õhutavaid ja asjakohatuid sõnumeid postitama
tromb	hüübinud vere tombuke
trombonist	tromboonil mängija
tromboseeruma	trombiga ummistuma
trombotsüüt	väike tuumata vererakk, mis võtab osa vere hüübimisest
trombuma	trombiga ummistuma
TromsÃ¸	linn Norras
TrÃ¸ndelag	maa-ala Norras
Trondheim	linn Norras
troofiline	organismi toitumisega seotud
troon	monarhi, paavsti vm kõrge valitseja kaunistatud iste vastuvõttudel jt ametlikel tseremooniatel
troonima	"kesksel või aukohal olema	 kõrgemal asuvana või millegi poolest esile kerkivana silma hakkama"
troop	ülekantud tähenduses kasutatav kunstikavatsuslik sõna või väljend
troopika	piirkond põhja- ja lõunapöörijoone vahel ja läheduses (nt Amazonase vihmametsad, Vaikse ookeani nn lõunamere saared)
troopikavööde	lähisekvatoriaalse ja lähistroopilise vöötme vahel asetsev vööde, mida iseloomustab kõrge õhutemperatuur ja suur päikesekiirgus, troopiline vööde
troopiline	"troopikale omane	 troopikasse kuuluv või sealt pärinev"
troost	"mure, kurbuse või hingevalu leevendus	 see, mis muret vm leevendab"
tropism	taimeosade liikumine ärriti poole või sellest eemale
tross	hrl terastraatidest kokkukeerutatud tugev painduv köis hrl millegi tõstmiseks, vedamiseks või kinnitamiseks
trossistik	trosside süsteem, trosside kogum
trots	tõrksus, allumatus, tahe midagi teha kellegi või millegi kiuste
trotsima	"trotsi täis olema	 kangekaelselt millestki või kellestki mitte välja tegema või mitte hoolima, midagi mitte arvestama"
trotslik	"tõrksust, trotsi täis	 seda väljendav"
trotuaar	jalakäijatele mõeldud, hrl kõva kattega kaetud teeosa
Trt	maakonnalinn Lõuna-Eestis, ülikoolilinn Emajõe kaldal
truism	algteadmine millegi kohta, üldtuntud tõde
trukknööp	kahest poolest koosnev kinni surutav nööp
trumm	ehitis, mille abil oja või kraavi vesi juhitakse tee alt läbi
trummar	pillimees, kelle instrumendiks on trumm
trummel	hrl silindriline õõnes masina, seadme või riista osa
trummeldama	heli tekitades millegi vastu korduvalt lööma või langema
trummikile	välis- ja keskkõrva piiril paiknev kile, mis annab õhuvõnked edasi kuulmeluukestele
trummilööja	pillimees, kelle instrumendiks on trumm
trummimängija	pillimees, kelle instrumendiks on trumm
trump	"sellesse kuuluv kaart	 teistest kõrgem mast kaardimängus"
trupp	näiteseltskond, teatri, tsirkuse vm esinejate väiksem kollektiiv
trussikud	pesuese, mida kantakse vastu ihu alakeha katteks
truu	"(tegevuse, harjumuste vms püsivuse kohta)	 suhtes kellegagi või millegagi muutumatult kindel ja usaldusväärne"
truualamlik	ülikuulekalt alluv, alandlikku ustavust osutav
truudus	muutumatu kindlus ja usaldusväärsus mingis suhtes
truudusetu	selline, kes pole truu, truudust rikkuv (hrl abielu- ja armastussuhetes)
truup	"pliidi, ahju juurde kuuluv lõõridega ehitis, mis kütmisel kuumeneb	 torujas kanal, mis juhib küttekoldest väljuvad suitsugaasid korstnasse	 ehitis, mille abil oja või kraavi vesi juhitakse tee alt läbi"
truusüdamlik	truu ja (väga) heatahtlik
träni	"rämps, pahn	 igasugused (mõttetud) asjad"
trään	"igasugused (mõttetud) asjad	 rämps, pahn"
trööst	"see, mis muret vm leevendab	 mure, kurbuse või hingevalu leevendus"
trööstima	muret, kurbust või hingevalu leevendama või leevendada püüdma
trööstimatu	lohutamatu
trööstitu	ängistavalt mõjuv, masendav, seetõttu kurb
trügima	"endale teed tehes kitsas paigas, tungluses edasi liikuma, tõugeldes liikuma	 tõuklema, tunglema"
trühveltort	trühvlipuru ja -tükikestega kaunistatud, rohkesti šokolaadi või kakaod sisaldav kihiline tort
trühvlikomm	šokolaadikompvek, mille täidisele on lisatud šokolaadi või kakaod
trühvlikompvek	šokolaadikompvek, mille täidisele on lisatud šokolaadi või kakaod
trühvlitort	trühvlipuru ja -tükikestega kaunistatud, rohkesti šokolaadi või kakaod sisaldav kihiline tort
trükikoda	trükiseid tootev ettevõte
trükikunst	"trükiste kujunduse füüsiline taastekitamine, paljundamine trükimenetluste abil	 trükiste valmistamise oskus"
trükimasin	masin, mis kannab trükivärvi trükivormilt paberile vm materjalile
trükimenetlus	trükiviis, trükkimisel kasutatav menetlus
trükindus	trükiste, trükitoodete valmistamine tegevusalana
trükipoogen	trükise mahu arvestamise ühik, mis väljendab trükitöö hulka: võrdub poole paberipoognaga, mille mõlemale küljele on trükitud, sisaldab hrl 16 lk
trükis	trükitehnika vahenditega valmistatud toode, nt raamat, ajaleht, postkaart, plakat
trükisõna	trükis ilmunud tekstid, trükised
trükitäht	"trükikirjas kasutav, mitte käsitsi kirjutatud täht	 suur kirjutatud või trükitud täht, suurtäht"
trükitöö	trükkimisega seotud tööprotsess, trükkimine
trükitööline	teatud trükitöö tegija (nt laduja, trükkija, monteerija, kopeerija, köitja)
trükitüüp	käsiladumisel ja täheladumismasinal ladumisel kasutatav trükitähe või -märgi reljeefse peegelpildis kujutisega risttahukas, mis trükkimisel kaetakse trükivärviga
trükivorm	plaat või silinder, mille pealispinnale on moodustatud värvi ülekandvad elemendid
trükivärv	trükkimiseks kasutatav värv
trükkal	trükikojas töötav trükkimise spetsialist, ka elukutsena
trükkija	trükikojas töötav trükkimise spetsialist, ka elukutsena
trükkima	trükimenetlusega tõmmiseid saama (nt trükivormilt paberile paljundatuna, digitrükina), trükitooteid valmistama
trümm	laeva alumise teki ja topeltpõhja vaheline ruum
tsaar	"seda tiitlit kandev isik	 meessoost riigipea tiitel mõnedes monarhistlikes slaavi riikides (Venemaal 1547-1721, mitteametlikult hiljemgi)"
tsaaritar	tsaari tütar
tsareevitš	tsaari poeg
tsarinna	"tsaaririigi naissoost valitseja	 tsaari abikaasa"
tsehh	"tehase tootmisüksus	 vastavad ruumid"
tsellofaan	tselluloosist saadud õhuke läbipaistev pakke- ja kattematerjal
tsellulaarne	"rakkudest koosnev, rakuna esinev	 rakkudesse puutuv, rakkudega seotud"
tsement	hall pulberjas sideaine, mida kasutatakse peamiselt betoonis ja mörtides nende tugevuse ja kõvaduse saavutamiseks
tsementeerima	tsemendiga töötlema, liitma või tugevdama
tsementima	tsemendiga töötlema, liitma või tugevdama
tsenseerima	teksti, filmi vm kontrollivalt läbi vaatama
tsensor	ametnik, kelle töö on trükiteoste vms kontrolliv läbivaatamine
tsensus	eeltingimus poliitiliste õiguste, eeskätt valimisõiguse saamiseks
tsensuslik	tsensusega seotud
tsensuur	peamiselt totalitaarriikides ametivõimude poolt teostatav tsenseerimine, takistamaks ebasoovitavate andmete või ideede levikut
tsentnerine	ühe tsentneri raskune, üks tsentner kaaluv
tsentraal	"(tähtsuselt, asendilt) keskne, peamine või põhiline	 (kõige) kõrgema üksuse poolt korraldatud või juhitud"
tsentraalne	"(tähtsuselt, asendilt) keskne, peamine või põhiline	 (kõige) kõrgema üksuse poolt korraldatud või juhitud"
tsentraalprojektsioon	(joonestamisel, geomeetrias:) ühest punktist lähtuvate kiirtega saadav ruumilise kujundi kolmemõõtmeline kujutis tasapinnal
tsentrism	poliitilisel spektril vasak- ja parempoolsuse vahele jääv vaadete süsteem
tsentrosoom	(loomadel ja alamatel taimedel:) raku osa, mis täidab oma ülesannet raku jagunemisel
tseremoniaalne	pidulikult kombepärane, tseremoonia(te)ga seotud
tseremoonia	mingi piduliku sündmuse kindlakskujunenud kord, sellega kaasnevad kombetalitused (nt tervituskõne, lipuheiskamine)
tseremoonitsema	"(tarbetuid) tseremooniaid korraldama või rakendama	 (liialt) viisakalt, (rõhutatult) kombekohaselt käituma"
tsiibet	Aafrika või Aasia mõneti kärpi meenutav kiskja
tsiibetkass	Aafrika või Aasia mõneti kärpi meenutav kiskja
tsikkel	kahe või kolme rattaga mootorsõiduk, mille mootori töömaht on vähemalt 50 cm3 ja mis liigub kiirusega vähemalt 45 km/h
tsinkima	tsingiga katma
tsinkkloriid	tsingi lahustamisel soolhappega saadava ühendi vesilahus, mida kasutatakse erinevate metallide (nt raua, terase, vase) tinaga jootmisel või puidu immutamiseks
tsipa	väike hulk, vähene määr
tsipake	väike hulk, vähene määr
tsipakene	väike hulk, vähene määr
Tsirguliina	alevik Valga maakonnas Valga vallas (Sangaste kihelkonnas)
tsirkulaar	ametlik dokument või kiri, mis saadetakse mitmele (alluvale) isikule või asutusele
tsirkulaarne	"ringjoonena kulgev, (liikudes, liigutustes) ringe tegev	 ümmarguse piirjoonega, ringi (meenutava) kujuga"
tsirkulatsioon	suletud süsteemis liikvel-olek, voolamine või ringlemine
tsistertslane	11. sajandil benediktlastest hargnenud katoliku ordu liige
tsistertslaste ordu	Prantsusmaal Citeaux`s 1098. aastal asutatud katoliiklik mungaordu
tsitaat	sõnasõnaline väljavõte tekstist (hrl viitega autorile või allikale)
tsitaatsõna	keeles esinev võõrkeelne sõna või väljend, mis kirjutatakse ja hääldatakse nagu lähtekeeles
tsitadell	kindluse enim kaitstud keskosa, vanaaegse linna või lossi sees asuv kindluse tüüpi ehitis
tsiteerima	teiselt autorilt pärit tekstilõiku, andmeid või kunstilist kujundit esitama, teisest allikast võetud tsitaati või tsitaate esitama
tsiteering	sõnasõnaline väljavõte tekstist (hrl viitega autorile või allikale)
Tsitre	küla Harju maakonnas Kuusalu vallas (Kuusalu kihelkonnas)
tsitrus	"apelsini-, greibi-, mandariini-, sidrunipuu mahlakas vili, mille sisu on jaotunud lõigukesteks, milles paiknevad seemned	 lähistroopikas kasvav igihaljas puu või põõsas, nt apelsini-, greibi-, mandariini-, sidrunipuu"
tsitrusepuu	lähistroopikas kasvav igihaljas puu või põõsas, nt apelsini-, greibi-, mandariini-, sidrunipuu
tsitruspuu	lähistroopikas kasvav igihaljas puu või põõsas, nt apelsini-, greibi-, mandariini-, sidrunipuu
tsitrusvili	apelsini-, greibi-, mandariini-, sidrunipuu mahlakas vili, mille sisu on jaotunud lõigukesteks, milles paiknevad seemned
tsiviilabielu	riiklikult kehtestatud õigusnormide alusel sõlmitud abielu (hrl vastandatult kiriklikule abielule)
tsiviilaeg	igapäevases elus kasutatav ajaarvestus, milles loetakse ööpäeva alguseks Päikese alumise kulminatsiooni hetk ehk kesköö
tsiviilehitus	elamute ja ühiskondlike hoonete ehitamine
tsiviilisik	isik, kes ei kuulu sõjaväkke, kaitseväkke vm kaitseorganisatsiooni
tsiviilõigus	"sellest lähtuv isiku õigus	 seadustest ja tavadest koosnevad õigusnormid, mis reguleerivad isikutevahelisi varalisi ja muid õigussuhteid"
tsivilisatsioon	inimühiskond koos oma ainelise ja vaimse kultuuriga (ka paikkondlikult või mingil ajaloo arenguastmel)
tsiviliseerima	kõrgeltarenenud, eesrindlikku ainelist ja vaimset kultuuri levitama, kedagi harima või arendama
tsiviliseeruma	kõrgeltarenenud, eesrindlikku ainelist ja vaimset kultuuri omandama, haridust saama ja teatavaid kombeid omandama
tsonaalne	"tsooni(de)sse puutuv, tsonaalsusega iseloomustatav	 tsooni kuuluv, tsooni hõlmav"
tsoneerima	vöönditeks jagama
Tsooru	küla Võru maakonnas Antsla vallas (Rõuge kihelkonnas)
tss	vaikusele või vaikimisele manitsev häälitsus
tst	vaikusele või vaikimisele manitsev häälitsus
tsunaami	hiiglaslik merelaine, mille on põhjustanud veealune maavärin
tsunami	hiiglaslik merelaine, mille on põhjustanud veealune maavärin
tsunft	ühe või mitme lähedase eriala linnakäsitööliste kutseühing Lääne-Euroopas 10.-19. sajandil
tsunftivaim	kitsa (eriala)ringkonna ühtekuuluvustunne
tsura	meessoost laps
Tsälbämägi	mägi Võru maakonnas Rõuge vallas (Rõuge kihelkonnas)
tsöliaakia	nisus, odras ja rukkis sisalduvast gluteenist põhjustatud autoimmuunhaigus, mille korra kahjustub peensoole limaskest ja häirub toitainete imendumine
tsönoos	teatavas elupaigas koos elavate organismide kogum
tsükliline	korrapäraselt korduv, tsüklitena esinev või korduv
tsüklon	pilvist ja sajust ilma kujundav õhukeeris, mille keskmes on õhurõhk madalam kui äärtes
tsüstiit	kusepõie limaskesta põletik
tsütoloogia	bioloogia haru, milles uuritakse raku ehitust, arenemist ja talitlemist mikroskoobi ja molekulaarbioloogiliste meetodite abil
tsütoplasma	rakutuuma ümbritsev elusaine, raku elussisu
tša-tša-tšaa	Kuubalt pärinev 4/4 taktimõõdus Ladina-Ameerika seltskonna- ja võistlustants
tšaardaš	"selle tantsu muusika	 aeglase sissejuhatusega ja kiireneva temperamentse põhiosaga Ungari rahvatants 2/4-taktimõõdus"
tšaarlston	afroameeriklaste rahvatantsust arenenud 4/4-taktimõõdus seltskonnatants
tšakra	silmale nähtamatu energiapööris inimese kehas mitmesuguste jooga-, New Age'i ja muude õpetuste järgi
Tšanõ	järv Venemaal Baraba stepis
tšarlston	afroameeriklaste rahvatantsust arenenud 4/4-taktimõõdus seltskonnatants
tšarter	laeva või lennuki üürileping
tšastuška	hrl päevakajalise sisuga lõppriimiline nelikvärssides vene rahvalaul
tšatša	Kuubalt pärinev 4/4 taktimõõdus Ladina-Ameerika seltskonna- ja võistlustants
tšau	tervitus- ja hüvastijätusõna
tšeburekk	lambalihatäidisega rasvapirukas
tšehh	"Tšehhi kodanik või elanik	 Tšehhi päritolu inimene	 Tšehhi põhirahva liige"
tšekaa	1917.-1922. aastal Venemaal tegutsenud julgeolekuorgani, Ülevenemaalise Erakorralise Komisjoni lühinimetus
tšekist	1917.-1922. aastal Venemaal tegutsenud julgeolekuorgani tšekaa töötaja
tšekk	raha valdaja kirjalik korraldus, mille järgi pank maksab selle esitajale välja korraldusel märgitud summa
Tšeljuskini neem	Euraasia põhjapoolseim tipp Venemaal Taimõris
tšellist	tšellol mängija (orkestris vm)
tšempion	meistrivõistluste võitja, meister
tšempionaat	(spordi)võistlused parima selgitamiseks mingil alal, võistlused meistritiitlile
Tšerepovets	linn Venemaal
tšerkess	ühe Põhja-Kaukaasias ja Ees-Aasias elava rahva liige
Tšerkessia	maa-ala Venemaal
tšetšeen	ühe Põhja-Kaukaasia rahva liige
tšiillane	"Tšiili päritolu inimene	 Tšiili kodanik või elanik"
tšikk	välimusele suurt rõhku panev, hrl efektne, silmahakkav tüdruk või noor naine
tšilli	"tšillipipar	 tšillipulber või seda sisaldav maitseainesegu"
tšillipipar	kibedamaitselisse paprikasorti kuuluva taime (vürts- ehk tšillipaprika) maitseainena tarvitatav kaunataoline vili
tšipsid	kuumas õlis praetud kartuli vm köögivilja laastud
tšuktši	peamiselt Tšuktšimaal elava väikerahva liige
Tšuktši mägismaa	mägismaa Venemaal Kaug-Idas
Tšulõm	Obi lisajõgi Venemaal
tšuud	mõne läänemeresoome rahva liikme (nt eestlase, vadjalase, vepslase) muistne nimetus idaslaavlastel
tšuvašš	peamiselt Tšuvaššias, Tatarstanis, Baškortostanis elava turgi rahva liige
tualettseep	seep ihu pesemiseks
Tuamotu saared	saarerühm Prantsuse Polüneesias
Tuapse	linn Venemaal
tuareeg	ühe berberi rahva liige Kesk-Saharas
tuba	elamiseks kasutatav ruum majas või korteris
tubakane	"tubakapuruga koos	 tubaka järele lõhnav"
tubane	toas, siseruumides tehtav, kasutatav, esinev vms
tuberkuloos	tuberkuloosibakteri (Kochi kepikese) tekitatud pikaldase kuluga nakkushaigus, mis kõige sagedamini kahjustab kopse
tuberkuloosihaige	inimene, kes põeb tuberkuloosi
tuberkuloosne	tuberkuloosist tingitud, tuberkuloosile iseloomulik
Tubuai saared	saarestik Prantsuse Polüneesias
tudeng	kõrgkoolis õppija
tudima	uneseisundis olema, mitte ärkvel olema
tudisema	"kergelt rappuma	 (vanadusest, erutusest vms:) värisema, vabisema"
Tudu	alevik Lääne-Viru maakonnas Vinni vallas (Viru-Jaagupi kihelkonnas)
Tudulinna	küla Ida-Viru maakonnas Alutaguse vallas (Iisaku kihelkonnas)
tuduma	uneseisundis olema, mitte ärkvel olema
tugev	(inimese, looma kohta:) suure kehajõuga, suurt füüsilist jõudu omav või ilmutav
tugevnema	jõult, vastupidavuselt tugeva(ma)ks minema
tugevune	teatava eespool mainitud tugevusega
tuginema	midagi aluseks võtma, millestki lähtuma
